门店生命周期管理系统产品功能清单,,,,
产品模块,子模块,系统角色,内容描述,期数
审批中心,审批操作处理,全员,"支持审批的在线化操作处理：
1.审批发起：可基于权限发起审批；
2.审批处理：基于处理节点，支持撤销、审批、转交、加签、关注、评论操作；
3.审批导出：支持按照系统预置模板批量导出相关审批的台账数据",一期
,审批业务管理,全员,"支持通过待审、已审、抄送、关注及全部审批等快速进行审批的在线办理及查询：
1.待办的审批：记录当前操作用户还未处理的所有审批，可查看详情和处理；
2.已办的审批：记录当前操作用户已经办理过的所有审批，可查看详情；
3.抄送的审批：记录流程中有抄送当前操作用户的所有审批，可查看详情；
4.关注的审批：记录当前操作用户已经关注的所有审批，可查看详情；
5.全部的审批：记录当前操作用户数据权限范围内的所有审批，可查看详情",一期
,审批模版配置,系统管理员,"支持通过表单设计及流程设计组件，搭建业务审批流程单据：
1.支持自定义配置审批名称、审批描述、处理节点、处理逻辑；
2.支持针对已配置的审批模板进行查看、编辑、启停用操作；
3.提供以下审批模板的预设：
a.报店审批
b.执照申请审批
c.施工供应商比价审批
d.交付确认审批
e.开业申请审批
f.门店报修审批
g.闭店审批",一期
基础数据管理,业务大区管理,系统管理员,"支持管理业务地区：
1.可新建、编辑、删除业务地区；
2.支持设置业务地区与省市、门店关联关系；
3.支持设置业务地区负责人",一期
,供应商管理,系统管理员,"支持管理供应商信息：
1.可新建、编辑、删除供应商档案，维护供应商信息；
2.可标记供应商的合作状态，供应商信息可被部分业务模块引用",一期
,主体信息管理,系统管理员,"支持管理主体信息：
1.可新建、编辑、删除主体档案，维护主体信息；
2.可标记主体的营运状态，主体信息可被部分业务模块引用",一期
,客户信息管理,系统管理员,"支持维护加盟商信息：
1.可新建、编辑、删除客户档案，维护客户信息；
2.可标记客户的合作状态，客户信息可被部分业务模块引用",一期
,商务预算管理,系统管理员,"支持维护门店商务预算：
1.可新建、编辑、删除商务预算，维护预算信息；
2.可标记状态，可被部分业务模块引用",一期
系统管理,部门管理,系统管理员,支持从企微同步部门架构信息,一期
,人员管理,系统管理员,"支持从企微同步人员信息，并可管理人员账号：
1.可对账号进行启停用设置；
2.可设置账号角色",一期
,角色管理,系统管理员,"提供角色管理功能：
1.支持角色的新增、删除、修改；
2.支持定义角色的功能操作权限范围及角色成员",一期
基础服务,登录服务,全员,"1.支持使用账号/手机号+密码登录；
2.支持使用手机号+验证码登录",一期
,消息中心,全员,用于接收业务系统的事务通知，并可快速链接至业务单据,一期
,个人中心,全员,支持个人信息管理：可修改账号密码、可修改个人信息,一期
,,,,
移动端：,,,,
工作台,审批中心,全员,支持移动端的审批流的发起、处理、查看,一期
,点位库,商务人员/运营人员,支持移动端查看点位库信息,一期
,铺位跟进,商务人员/运营人员/销售人员,支持移动端新建跟进单、添加跟进内容,一期
,工程验收,商务人员,支持移动端的工程验收确认，支持标记需整改问题、生成整改清单,一期
,门店交付,商务人员/销售人员/加盟商/店长,支持移动端的交付资料管理,一期
,门店档案,商务人员/运营人员/销售人员,支持移动端查看门店档案,一期
,资产管理,商务人员/IT/店长/,支持移动端查看门店资产，可对资产操作添加、编辑、查询、删除,二期
个人中心,登录服务,全员,支持在企微工作台登录,一期
,消息中心,全员,用于接收业务系统的事务通知，并可快速链接至业务单据,一期
,设置,全员,支持个人信息管理（账号密码、个人信息变更管理）,一期
,,,,
,,,,
与《原拟定合同》的差异说明：,,,,
1.原合同中描述的如库存管理、采购、差异决算、日报周报等功能，因确定不设供应商账号或经沟通评估对现有业务帮助不大，未列入,,,,
2.原合同中描述的选址报告和在线点位数据，因确定采用另外的合作形式，未列入,,,,
3.原合同中描述的数据相关的需求，以上述和姜总需求沟通的为准,,,,
4.原合同中描述的资产管理、报事报修模块，确认本期需求是提供门店资产清单，可按盘点周期清点标记，若需报修则经审批后门店自行联系供应商,,,,
5.新增和有扩展的需求已标记颜色（8.14新增内容为红色）,,,,
,,,,
